Company,Product Name,Prices,Display Size, Display Type,Memory Description
Realme,"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹ 19,999",6.72,Full HD,8 GB RAM | 128 GB ROM
Redmi,"REDMI 10 (Pacific Blue, 128 GB)","₹ 10,999",6.7 ,HD,6 GB RAM | 128 GB ROM
Apple,"APPLE iPhone 14 (Starlight, 128 GB)","₹ 69,999",6.1 ,Super Retina ,128 GB ROM
Redmi,"REDMI 10 (Midnight Black, 64 GB)","₹ 9,499",6.7 ,HD,4 GB RAM | 64 GB ROM 
Dizo,DIZO Star 500,"₹ 1,845",2.8 ,QVGA ,32 MB RAM | 32 MB ROM
Itel,itel It2171,₹ 999,1.8 ,Quarter QVGA ,32 MB RAM | 32 MB ROM
Itel,itel It2171,₹ 999,1.8 ,Quarter QVGA ,32 MB RAM | 32 MB ROM
Itel,itel MagicX Pro (4G Hotspot),"₹ 2,365",2.4 ,Basic ,64 MB RAM | 128 MB ROM
Realme,"realme 10 (Clash White, 64 GB)","₹ 12,499",6.4 ,Full HD,4 GB RAM | 64 GB ROM 
Micromax,Micromax X415,"₹ 1,049",1.77,Basic ,56 MB RAM | 36 MB ROM
Itel,itel MagicX Pro (4G Hotspot),"₹ 2,365",2.4 ,Basic ,64 MB RAM | 128 MB ROM
Nokia,Nokia 105 TA-1473 SS,"₹ 1,299",1.77,QVGA ,32 MB RAM | 32 MB ROM
Samsung,SAMSUNG GT-E1215ZKAINS,"₹ 1,749",1.5 ,Basic ,NA ROM
Realme,"realme 10 (Rush Black, 128 GB)","₹ 15,499",6.4 ,Full HD,8 GB RAM | 128 GB ROM
Nokia,Nokia TA-1174 / TA-1299,"₹ 1,560",1.8 ,Basic ,4 MB RAM | 4 MB ROM
Infinix,"Infinix HOT 20 5G (Blaster Green, 64 GB)","₹ 11,499",6.6 ,Full HD,4 GB RAM | 64 GB ROM 
Gfive,GFive U220+,₹ 725,1.8 ,Basic ,32 MB RAM | 32 ROM
Google,"Google Pixel 6a (Chalk, 128 GB)","₹ 28,999",6.14,Full HD,6 GB RAM | 128 GB ROM
Redmi,"REDMI Note 12 5G (Frosted Green, 128 GB)","₹ 18,999",6.67,Full HD,6 GB RAM | 128 GB ROM
Good,Good One G5605,₹ 999,1.8 ,Basic ,32 MB RAM | 32 MB ROM
Google,"Google Pixel 6a (Charcoal, 128 GB)","₹ 28,999",6.14,Full HD,6 GB RAM | 128 GB ROM
Redmi,"REDMI Note 12 5G (Matte Black, 128 GB)","₹ 18,999",6.67,Full HD,6 GB RAM | 128 GB ROM
Dizo,DIZO Star 300,"₹ 1,375",1.77,Quarter QVGA ,32 MB RAM | 32 MB ROM
Samsung,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹ 16,999",6.6 ,Full HD,6 GB RAM | 128 GB ROM
Cellecor,Cellecor E6+,"₹ 1,236",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Cellecor,Cellecor E10,"₹ 1,353",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Redmi,"REDMI Note 12 5G (Matte Black, 128 GB)","₹ 16,999",6.67,Full HD,4 GB RAM | 128 GB ROM
Samsung,SAMSUNG Guru Music 2 SM-B315E,"₹ 2,350",2 in,QVGA ,16 GB ROM
Cellecor,Cellecor C60+,"₹ 1,293",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Dizo,DIZO Star 300,"₹ 1,375",1.77,Quarter QVGA ,32 MB RAM | 32 MB ROM
Samsung,"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹ 7,870",6.5 ,HD,4 GB RAM | 64 GB ROM 
Nokia,Nokia 105 SS,"₹ 1,599",1.77,QVGA ,32 MB RAM | 32 MB ROM
Nokia,Nokia TA-1174 / TA-1299,"₹ 1,560",1.8 ,Basic ,4 MB RAM | 4 MB ROM
